"node_id","longitude","latitude"
256,114,32.3
257,114,32.3
258,124,48.5
259,124,48.5
260,71.5,36
261,71.5,36
262,103,28
263,103,28
264,100,21
265,100,21
266,114,32.3
267,114,32.3
268,114,32.3
269,114,32.3
270,29,0.999999999999999
271,29,0.999999999999999
272,119,27
273,119,27
274,109,29
275,109,29
276,37,-3
277,37,-3
278,114,32.3
279,114,32.3
280,100,21
281,100,21
282,114,32.3
283,114,32.3
284,114,32.3
285,114,32.3
286,114,32.3
287,114,32.3
288,107.8,34.7
289,107.8,34.7
290,119,27
291,119,27
292,114,32.3
293,114,32.3
294,124,48.5
295,124,48.5
296,100,26
297,100,26
298,114,32.3
299,114,32.3
300,24.25,-25.6
301,24.25,-25.6
302,17,4
303,17,4
304,114,32.3
305,114,32.3
306,107.8,34.7
307,107.8,34.7
308,114,32.3
309,114,32.3
310,-11.9999999999999,12
311,-11.9999999999999,12
312,114,32.3
313,114,32.3
314,114,32.3
315,114,32.3
316,114,32.3
317,114,32.3
318,114,32.3
319,114,32.3
320,114,32.3
321,114,32.3
322,114,32.3
323,114,32.3
324,100,22
325,100,22
326,109,29
327,109,29
328,107.8,34.7
329,107.8,34.7
330,114,32.3
331,114,32.3
332,114,32.3
333,114,32.3
334,109,28
335,109,28
336,114,32.3
337,114,32.3
338,103,28
339,103,28
340,101,36
341,101,36
342,107.8,34.7
343,107.8,34.7
344,101,36
345,101,36
346,101,36
347,101,36
348,100,22
349,100,22
350,114,32.3
351,114,32.3
352,114,32.3
353,114,32.3
354,107.8,34.7
355,107.8,34.7
356,107.8,34.7
357,107.8,34.7
358,114,32.3
359,114,32.3
360,119,48.5
361,119,48.5
362,103,28
363,103,28
364,119,27
365,119,27
366,100,22
367,100,22
368,109,29
369,109,29
370,101,36
371,101,36
372,114,32.3
373,114,32.3
374,103,28
375,103,28
376,109,28
377,109,28
378,100,26
379,100,26
380,100,22
381,100,22
382,100,21
383,100,21
384,109,28
385,109,28
386,109,29
387,109,29
388,103,28
389,103,28
390,101,36
391,101,36
392,109,28
393,109,28
394,101,36
395,101,36
396,101,36
397,101,36
398,119,27
399,119,27
400,107.8,34.7
401,107.8,34.7
402,107.8,34.7
403,107.8,34.7
404,119,27
405,119,27
406,139,37.5
407,139,37.5
408,107.8,34.7
409,107.8,34.7
410,114,32.3
411,114,32.3
412,139,37.5
413,139,37.5
414,103,28
415,103,28
416,119,27
417,119,27
418,109,29
419,109,29
420,100,22
421,100,22
422,100,26
423,100,26
424,100,26
425,100,26
426,133.5,47.5
427,133.5,47.5
428,100,22
429,100,22
430,101,36
431,101,36
432,129.5,63
433,129.5,63
434,81.5,43.5
435,81.5,43.5
436,139,37.5
437,139,37.5
438,133.5,47.5
439,133.5,47.5
440,126.5,50.4
441,126.5,50.4
442,119,27
443,119,27
444,114,32.3
445,114,32.3
446,74,36.5
447,74,36.5
448,129.5,63
449,129.5,63
450,119,27
451,119,27
452,100,26
453,100,26
454,124,48.5
455,124,48.5
456,107.8,34.7
457,107.8,34.7
458,103,28
459,103,28
