"sample_id","sample_region"
"HGDP00376_ERS474421","AS"
"HGDP00376_ERS474421","AS"
"HGDP00364_ERS474418","AS"
"HGDP00364_ERS474418","AS"
"HGDP00954_ERS474363","AS"
"HGDP00954_ERS474363","AS"
"HGDP01234_ERS474278","AS"
"HGDP01234_ERS474278","AS"
"HGDP00712_ERS474316","AS"
"HGDP00712_ERS474316","AS"
"HGDP00962_ERS474371","AS"
"HGDP00962_ERS474371","AS"
"HGDP00754_ERS474332","AS"
"HGDP00754_ERS474332","AS"
"HGDP01232_ERS474295","AS"
"HGDP01232_ERS474295","AS"
"HGDP01102_ERS474255","AS"
"HGDP01102_ERS474255","AS"
"HGDP01204_ERS474307","AS"
"HGDP01204_ERS474307","AS"
"HGDP00100_ERS474390","AS"
"HGDP00100_ERS474390","AS"
"HGDP01303_ERS474385","AS"
"HGDP01303_ERS474385","AS"
"HGDP01206_ERS474309","AS"
"HGDP01206_ERS474309","AS"
"HGDP00772_ERS474349","AS"
"HGDP00772_ERS474349","AS"
"HGDP00099_ERS474389","AS"
"HGDP00099_ERS474389","AS"
"HGDP00371_ERS474419","AS"
"HGDP00371_ERS474419","AS"
"HGDP00758_ERS474336","AS"
"HGDP00758_ERS474336","AS"
"HGDP00765_ERS474343","AS"
"HGDP00765_ERS474343","AS"
"HGDP00750_ERS474328","AS"
"HGDP00750_ERS474328","AS"
"HGDP01229_ERS474292","AS"
"HGDP01229_ERS474292","AS"
"HGDP01237_ERS474280","AS"
"HGDP01237_ERS474280","AS"
"HGDP00756_ERS474334","AS"
"HGDP00756_ERS474334","AS"
"HGDP00751_ERS474329","AS"
"HGDP00751_ERS474329","AS"
"HGDP00828_ERS474353","AS"
"HGDP00828_ERS474353","AS"
"HGDP00108_ERS474396","AS"
"HGDP00108_ERS474396","AS"
"HGDP00115_ERS474400","AS"
"HGDP00115_ERS474400","AS"
"HGDP00790_ERS474351","AS"
"HGDP00790_ERS474351","AS"
"HGDP00109_ERS474397","AS"
"HGDP00109_ERS474397","AS"
"HGDP00963_ERS474372","AS"
"HGDP00963_ERS474372","AS"
"HGDP00356_ERS474416","AS"
"HGDP00356_ERS474416","AS"
"HGDP00392_ERS474424","AS"
"HGDP00392_ERS474424","AS"
"HGDP01221_ERS474304","AS"
"HGDP01221_ERS474304","AS"
"HGDP00953_ERS474362","AS"
"HGDP00953_ERS474362","AS"
"HGDP01209_ERS474312","AS"
"HGDP01209_ERS474312","AS"
"HGDP00950_ERS474359","AS"
"HGDP00950_ERS474359","AS"
"HGDP00719_ERS474322","AS"
"HGDP00719_ERS474322","AS"
"HGDP00104_ERS474393","AS"
"HGDP00104_ERS474393","AS"
"HGDP01249_ERS474274","AS"
"HGDP01249_ERS474274","AS"
"HGDP01218_ERS474301","AS"
"HGDP01218_ERS474301","AS"
"HGDP01251_ERS474276","AS"
"HGDP01251_ERS474276","AS"
"HGDP00960_ERS474369","AS"
"HGDP00960_ERS474369","AS"
"HGDP00964_ERS474373","AS"
"HGDP00964_ERS474373","AS"
"HGDP00771_ERS474348","AS"
"HGDP00771_ERS474348","AS"
"HGDP00957_ERS474366","AS"
"HGDP00957_ERS474366","AS"
"HGDP00968_ERS474377","AS"
"HGDP00968_ERS474377","AS"
"HGDP01220_ERS474303","AS"
"HGDP01220_ERS474303","AS"
"HGDP01212_ERS474314","AS"
"HGDP01212_ERS474314","AS"
"HGDP00761_ERS474339","AS"
"HGDP00761_ERS474339","AS"
"HGDP01205_ERS474308","AS"
"HGDP01205_ERS474308","AS"
"HGDP00351_ERS474415","AS"
"HGDP00351_ERS474415","AS"
"HGDP00372_ERS474420","AS"
"HGDP00372_ERS474420","AS"
"HGDP01241_ERS474284","AS"
"HGDP01241_ERS474284","AS"
"HGDP00760_ERS474338","AS"
"HGDP00760_ERS474338","AS"
