"node_id","X","Y"
85,-1571083.03077582,5373513.60547592
86,-6914071.11309582,-3245766.83188501
87,-6914071.11309582,-3245766.83188501
88,-10617391.9741591,1542840.06136381
89,-10617391.9741591,1542840.06136381
90,-6914071.11309582,-3245766.83188501
91,-6914071.11309582,-3245766.83188501
92,-10617391.9741591,1542840.06136381
93,-10617391.9741591,1542840.06136381
94,-7942129.07763006,516038.586656641
95,-7942129.07763006,516038.586656641
96,-10617391.9741591,1542840.06136381
97,-10617391.9741591,1542840.06136381
98,-3280816.16587811,3294588.22751924
99,-3280816.16587811,3294588.22751924
100,-2599096.42861468,4191598.84214148
101,-2599096.42861468,4191598.84214148
102,810081.850724407,3657772.46598192
103,810081.850724407,3657772.46598192
104,-7942129.07763006,516038.586656641
105,-7942129.07763006,516038.586656641
106,-6801290.69160269,129061.003553229
107,-6801290.69160269,129061.003553229
108,-10617391.9741591,1542840.06136381
109,-10617391.9741591,1542840.06136381
110,-1571083.03077582,5373513.60547592
111,-1571083.03077582,5373513.60547592
112,473990.713132104,1542840.06136381
113,473990.713132104,1542840.06136381
114,473990.713132104,1542840.06136381
115,473990.713132104,1542840.06136381
116,-2643148.9104556,4191598.84214148
117,-2643148.9104556,4191598.84214148
118,-2254040.25386392,4539167.41516359
119,-2254040.25386392,4539167.41516359
120,-3280816.16587811,3294588.22751924
121,-3280816.16587811,3294588.22751924
122,-10617391.9741591,1542840.06136381
123,-10617391.9741591,1542840.06136381
124,-2643148.9104556,4191598.84214148
125,-2643148.9104556,4191598.84214148
126,-2643148.9104556,4191598.84214148
127,-2643148.9104556,4191598.84214148
128,-6801290.69160269,129061.003553229
129,-6801290.69160269,129061.003553229
130,-5769938.58541992,4015230.82738689
131,-5769938.58541992,4015230.82738689
132,-3280816.16587811,3294588.22751924
133,-3280816.16587811,3294588.22751924
134,-2830604.07699298,3233547.59806644
135,-2830604.07699298,3233547.59806644
136,-5769938.58541992,4015230.82738689
137,-5769938.58541992,4015230.82738689
138,-5044003.41459606,5373513.60547592
139,-5044003.41459606,5373513.60547592
140,2065158.07368498,7182473.40086789
141,2065158.07368498,7182473.40086789
142,-2995003.27927201,3837259.7119262
143,-2995003.27927201,3837259.7119262
144,-2830604.07699298,3233547.59806644
145,-2830604.07699298,3233547.59806644
146,-2254040.25386392,4539167.41516359
147,-2254040.25386392,4539167.41516359
148,-5797653.53396603,3896756.13090487
149,-5797653.53396603,3896756.13090487
150,-8610523.73516511,4015230.82738689
151,-8610523.73516511,4015230.82738689
152,-5797653.53396603,3896756.13090487
153,-5797653.53396603,3896756.13090487
154,473990.713132104,1542840.06136381
155,473990.713132104,1542840.06136381
156,-2995003.27927201,3837259.7119262
157,-2995003.27927201,3837259.7119262
158,-2599096.42861468,4191598.84214148
159,-2599096.42861468,4191598.84214148
160,-2830604.07699298,3233547.59806644
161,-2830604.07699298,3233547.59806644
162,-1571083.03077582,5373513.60547592
163,-1571083.03077582,5373513.60547592
164,-9058641.07173178,1030760.60072679
165,-9058641.07173178,1030760.60072679
166,-7942129.07763006,516038.586656641
167,-7942129.07763006,516038.586656641
168,-2477698.48219458,4481740.39553478
169,-2477698.48219458,4481740.39553478
170,2065158.07368498,7182473.40086789
171,2065158.07368498,7182473.40086789
172,-2995003.27927201,3837259.7119262
173,-2995003.27927201,3837259.7119262
174,-2477698.48219458,4481740.39553478
175,-2477698.48219458,4481740.39553478
176,-5769938.58541992,4015230.82738689
177,-5769938.58541992,4015230.82738689
178,-5044003.41459606,5373513.60547592
179,-5044003.41459606,5373513.60547592
180,-5044003.41459606,5373513.60547592
181,-5044003.41459606,5373513.60547592
182,-2254040.25386392,4539167.41516359
183,-2254040.25386392,4539167.41516359
184,2065158.07368498,7182473.40086789
185,2065158.07368498,7182473.40086789
186,-5769938.58541992,4015230.82738689
187,-5769938.58541992,4015230.82738689
188,-6801290.69160269,129061.003553229
189,-6801290.69160269,129061.003553229
190,-5797653.53396603,3896756.13090487
191,-5797653.53396603,3896756.13090487
192,-2995003.27927201,3837259.7119262
193,-2995003.27927201,3837259.7119262
194,-2599096.42861468,4191598.84214148
195,-2599096.42861468,4191598.84214148
196,-9058641.07173178,1030760.60072679
197,-9058641.07173178,1030760.60072679
198,-2995003.27927201,3837259.7119262
199,-2995003.27927201,3837259.7119262
200,-7942129.07763006,516038.586656641
201,-7942129.07763006,516038.586656641
202,813572.88743204,3537314.10275363
203,813572.88743204,3537314.10275363
204,-2995003.27927201,3837259.7119262
205,-2995003.27927201,3837259.7119262
206,-9058641.07173178,1030760.60072679
207,-9058641.07173178,1030760.60072679
